Nombre Video	Participante	Código de Historia	Historia	Cambio de cuadro	Inicio 1	Final 1	Inicio 2	Final 2	Comentarios
"Historias vinetas (2)"	1	1	"La niña enferma"		""	""	""	""	""
"Historias vinetas (3)"	2	2	"Dos propuestas de matrimonio"	1	"2:08"	"2:30"	""	""	""
"Historias vinetas (4)"	3	3	"El bote y escondite"	1	"0:00"	"0:08"	"1:54"	"1:57"	"No se mueve el cuadro como tal pero tiembla un poco al inicio y al final, pareciera por el movimiento de la cámara"
"Historias vinetas (5)"	3	1	"La niña enferma"	1	"0:00"	"0:03"	"2:08"	"2:10"	"No se mueve el cuadro como tal pero tiembla un poco al inicio y al final, pareciera por el movimiento de la cámara"
"Historias vinetas (6)"	4	2	"Dos propuestas de matrimonio"	1	"0:00"	"0:40"	""	""	""
"Historias vinetas (8)"	5	1	"La niña enferma"	1	"0:00"	"0:40"	"1:50"	""	"No se mueve el cuadro como tal pero tiembla un poco al inicio y al final, pareciera por el movimiento de la cámara"
"Historias vinetas (9)"	6	3	"El bote y escondite"		""	""	""	""	""
"Historias vinetas (11)"	1	3	"El bote y escondite"		""	""	""	""	""
"Historias vinetas (12)"	7	2	"Dos propuestas de matrimonio"		""	""	""	""	""
"Historias vinetas (13)"	7	4	"El clima"		""	""	""	""	""
"Historias vinetas (14)"	8	3	"El bote y escondite"		""	""	""	""	""
"Historias vinetas (15)"	8	1	"La niña enferma"		""	""	""	""	""
"Historias vinetas (17)"	9	4	"El clima"	1	"0:00"	"0:24"	""	""	""
"Historias vinetas (18)"	10	2	"Dos propuestas de matrimonio"		""	""	""	""	""
"Historias vinetas (19)"	10	4	"El clima"		""	""	""	""	""
"Historias vinetas (20)"	11	2	"Dos propuestas de matrimonio"		""	""	""	""	""
"Historias vinetas (21)"	11	4	"El clima"		""	""	""	""	""
"Historias vinetas (22)"	12	3	"El bote y escondite"		""	""	""	""	""
"Historias vinetas (23)"	12	1	"La niña enferma"	1	"0:40"	"1:25"	""	""	""
"Historias vinetas (24)"	13	2	"Dos propuestas de matrimonio"	1	"4:01"	"4:09"	""	""	"Sólo al final aparece una persona más"
"Historias vinetas (25)"	13	4	"El clima"		""	""	""	""	""
"Historias vinetas (27)"	14	2	"Dos propuestas de matrimonio"	1	"0:00"	"0:20"	""	""	""
"Historias vinetas (29)"	15	3	"El bote y escondite"	1	"0:00"	"0:30"	""	""	""
"Historias vinetas (30)"	15	1	"La niña enferma"	1	"0:00"	"0:53"	""	""	""
"Historias vinetas (37)"	16	4	"El clima"		""	""	""	""	""
"Historias vinetas (42)"	17	2	"Dos propuestas de matrimonio"		""	""	""	""	""
"Historias vinetas (43)"	17	4	"El clima"		""	""	""	""	""
